Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
TIMP3__Stroma,PLXNB2__Malignant,2.800078795544967,1.0308663439741617,2.7162384453742043,16.824644549763033,65.69246972090575
TIMP3__Stroma,SDC1__Malignant,2.795182569179467,1.0308663439741617,2.7114888225020253,16.824644549763033,64.797261716693
COMP__Stroma,CD9__Malignant,2.7874183326075763,0.8062875301300323,3.4571021235539154,13.717746182201159,67.6408636124276
TFF3__Malignant,CAP1__Stroma,2.7837160042281246,4.162209399232361,0.6688072937275878,68.90468667719853,13.217482885729332
TFF3__Malignant,LAMP2__Stroma,2.7609593434212476,4.162209399232361,0.6633398463639175,68.90468667719853,12.76987888362296
IGFBP4__Malignant,FLOT1__Stroma,2.744529674779695,3.020290638026889,0.908697209541614,68.45708267509215,16.903633491311215
TIMP3__Stroma,GFRA1__Malignant,2.7434085810377535,1.0308663439741617,2.6612650583405952,16.824644549763033,64.6129541864139
HLA-A__Malignant,CD74__Macrophage,2.73092573348134,4.3032454350933795,0.6346200268314651,69.08899420747761,8.293838862559241
FN1__Stroma,CD44__Malignant,2.723122662123214,1.4325379738808335,1.900907837539627,19.641916798314902,58.58346498156924
BST2__Malignant,ITGB5__Stroma,2.722588896446421,3.2050970023845986,0.8494560053629607,67.58820431806214,15.11321748288573
COPA__Malignant,IL6ST__Stroma,2.7215631270548326,2.4864563801269832,1.0945549452654555,63.69141653501843,17.9304897314376
COMP__Stroma,CD63__Malignant,2.6763206321783732,0.8062875301300323,3.31931294007084,13.717746182201159,68.48341232227489
TNFSF10__Malignant,ITGB5__Stroma,2.67142420533755,3.1448646998452707,0.8494560053629607,66.29805160610847,15.11321748288573
FN1__Stroma,CD47__Malignant,2.6695499229829545,1.4325379738808335,1.8635107561937638,19.641916798314902,56.6350710900474
THBS1__Stroma,FLOT1__Malignant,2.656782147525934,0.9685631156406587,2.7430139601884367,16.53501843075303,65.7451290152712
HLA-C__Malignant,CAP1__Stroma,2.6512703179982995,3.9641767409883983,0.6688072937275878,68.64139020537124,13.217482885729332
HLA-DRB1__Malignant,ITGB5__Stroma,2.643172079977011,3.111605619702012,0.8494560053629607,68.27277514481305,15.11321748288573
TIMP3__Stroma,CD55__Malignant,2.641806912813938,1.0308663439741617,2.5627055614497336,16.824644549763033,63.90205371248025
TFF3__Malignant,CD74__Macrophage,2.641421440619017,4.162209399232361,0.6346200268314651,68.90468667719853,8.293838862559241
THBS1__Stroma,PLXNB2__Malignant,2.6308483714745785,0.9685631156406587,2.7162384453742043,16.53501843075303,65.69246972090575
HLA-C__Malignant,LAMP2__Stroma,2.6295963903266593,3.9641767409883983,0.6633398463639175,68.64139020537124,12.76987888362296
THBS1__Stroma,SDC1__Malignant,2.6262480619473827,0.9685631156406587,2.7114888225020253,16.53501843075303,64.797261716693
APOE__Macrophage,CD74__Malignant,2.6177427970057967,0.6168849897367406,4.243485966683894,8.293838862559241,69.03633491311216
FN1__Stroma,MAGED1__Malignant,2.613665470313722,1.4325379738808335,1.824499955999869,19.641916798314902,56.766719325961034
TIMP3__Stroma,AMFR__Malignant,2.60658530721483,1.0308663439741617,2.528538566082203,16.824644549763033,62.82253817798842
CXCL14__Malignant,FLOT1__Stroma,2.5895077356473335,2.849692624184015,0.908697209541614,66.45602948920485,16.903633491311215
CD24__Malignant,CAP1__Stroma,2.5797101524091035,3.8571800526144475,0.6688072937275878,68.19378620326488,13.217482885729332
THBS1__Stroma,GFRA1__Malignant,2.5776031764519862,0.9685631156406587,2.6612650583405952,16.53501843075303,64.6129541864139
UBA52__Malignant,CAP1__Stroma,2.572635831702352,3.846602535333912,0.6688072937275878,68.74670879410216,13.217482885729332
IGFBP4__Malignant,ITGB5__Stroma,2.565604020413469,3.020290638026889,0.8494560053629607,68.45708267509215,15.11321748288573
CD24__Malignant,LAMP2__Stroma,2.5586212234992347,3.8571800526144475,0.6633398463639175,68.19378620326488,12.76987888362296
UBA52__Malignant,LAMP2__Stroma,2.551604734811453,3.846602535333912,0.6633398463639175,68.74670879410216,12.76987888362296
