pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
ADAM12__Tcell|CLEC2D__Endothelial,ADAM12,CLEC2D,Tcell,Endothelial,9,62,2.2630363e-06
SNCA__Endothelial|ITGAL__Bcell,SNCA,ITGAL,Endothelial,Bcell,62,20,2.2609695e-06
TNFSF14__Bcell|ITGA6__Macrophage,TNFSF14,ITGA6,Bcell,Macrophage,20,315,2.2604884e-06
PLA2G2A__Bcell|ITGA1__Stroma,PLA2G2A,ITGA1,Bcell,Stroma,20,768,2.2602333e-06
ANGPT1__Bcell|SIRPA__Stroma,ANGPT1,SIRPA,Bcell,Stroma,20,768,2.2596314e-06
CTSG__Bcell|ACVR2A__Stroma,CTSG,ACVR2A,Bcell,Stroma,20,768,2.2593592e-06
DUSP18__Endothelial|ITGB2__Bcell,DUSP18,ITGB2,Endothelial,Bcell,62,20,2.2554445e-06
TNFSF15__Bcell|ITGB7__Macrophage,TNFSF15,ITGB7,Bcell,Macrophage,20,315,2.2505735e-06
TNF__Tcell|PTPRK__Stroma,TNF,PTPRK,Tcell,Stroma,9,768,2.2498432e-06
SEMA3D__Bcell|AXL__Macrophage,SEMA3D,AXL,Bcell,Macrophage,20,315,2.2496413e-06
GZMB__Tcell|PTPRB__Endothelial,GZMB,PTPRB,Tcell,Endothelial,9,62,2.2483832e-06
TF__Tcell|AMFR__Stroma,TF,AMFR,Tcell,Stroma,9,768,2.246785e-06
JAM2__Tcell|S1PR2__Stroma,JAM2,S1PR2,Tcell,Stroma,9,768,2.2454615e-06
BMP2__Tcell|ITGB2__Stroma,BMP2,ITGB2,Tcell,Stroma,9,768,2.244607e-06
KLRB1__Macrophage|PVR__Bcell,KLRB1,PVR,Macrophage,Bcell,315,20,2.243648e-06
ICAM2__Endothelial|SDC4__Bcell,ICAM2,SDC4,Endothelial,Bcell,62,20,2.2416016e-06
FCER2__Tcell|ENO1__Malignant,FCER2,ENO1,Tcell,Malignant,9,2624,2.2411448e-06
ICAM2__Tcell|CLEC2D__Endothelial,ICAM2,CLEC2D,Tcell,Endothelial,9,62,2.23877e-06
SEMA6D__Endothelial|TNFRSF6B__Macrophage,SEMA6D,TNFRSF6B,Endothelial,Macrophage,62,315,2.2344002e-06
TNFSF14__Tcell|CCR5__Macrophage,TNFSF14,CCR5,Tcell,Macrophage,9,315,2.229444e-06
TNFSF14__Bcell|F2RL2__Macrophage,TNFSF14,F2RL2,Bcell,Macrophage,20,315,2.2268794e-06
TNFSF14__Tcell|SDC2__Macrophage,TNFSF14,SDC2,Tcell,Macrophage,9,315,2.223325e-06
HGF__Bcell|HAVCR2__Macrophage,HGF,HAVCR2,Bcell,Macrophage,20,315,2.2220106e-06
DUSP18__Tcell|RGMB__Stroma,DUSP18,RGMB,Tcell,Stroma,9,768,2.220856e-06
PLA2G2A__Bcell|IL2RG__Macrophage,PLA2G2A,IL2RG,Bcell,Macrophage,20,315,2.2195222e-06
FASLG__Bcell|PLXNB2__Stroma,FASLG,PLXNB2,Bcell,Stroma,20,768,2.2193192e-06
SEMA6D__Endothelial|LAG3__Macrophage,SEMA6D,LAG3,Endothelial,Macrophage,62,315,2.2190636e-06
BMP2__Tcell|LAMA4__Stroma,BMP2,LAMA4,Tcell,Stroma,9,768,2.218302e-06
WNT5A__Tcell|PLXNA3__Malignant,WNT5A,PLXNA3,Tcell,Malignant,9,2624,2.2161216e-06
FASLG__Tcell|SIRPA__Stroma,FASLG,SIRPA,Tcell,Stroma,9,768,2.2160373e-06
TNXB__Endothelial|TNFRSF25__Bcell,TNXB,TNFRSF25,Endothelial,Bcell,62,20,2.2159377e-06
TNFSF14__Bcell|PTPRB__Endothelial,TNFSF14,PTPRB,Bcell,Endothelial,20,62,2.2148186e-06
F13A1__Bcell|TNFRSF25__Macrophage,F13A1,TNFRSF25,Bcell,Macrophage,20,315,2.2118218e-06
HBEGF__Endothelial|IGF2R__Bcell,HBEGF,IGF2R,Endothelial,Bcell,62,20,2.2108686e-06
FASLG__Macrophage|ITGA6__Bcell,FASLG,ITGA6,Macrophage,Bcell,315,20,2.21019e-06
LAMA1__Bcell|VANGL1__Stroma,LAMA1,VANGL1,Bcell,Stroma,20,768,2.2065303e-06
CRTAM__Tcell|PTPRK__Stroma,CRTAM,PTPRK,Tcell,Stroma,9,768,2.2049912e-06
LAMC3__Bcell|F2RL2__Stroma,LAMC3,F2RL2,Bcell,Stroma,20,768,2.2047784e-06
ICAM3__Endothelial|FAS__Bcell,ICAM3,FAS,Endothelial,Bcell,62,20,2.2030974e-06
COL9A3__Tcell|PRLR__Malignant,COL9A3,PRLR,Tcell,Malignant,9,2624,2.2026322e-06
DUSP18__Tcell|CD82__Stroma,DUSP18,CD82,Tcell,Stroma,9,768,2.202513e-06
ANGPT2__Endothelial|ITGAL__Bcell,ANGPT2,ITGAL,Endothelial,Bcell,62,20,2.2015204e-06
TFPI__Endothelial|ITGA6__Bcell,TFPI,ITGA6,Endothelial,Bcell,62,20,2.2005518e-06
ANGPT2__Tcell|APLP2__Stroma,ANGPT2,APLP2,Tcell,Stroma,9,768,2.199791e-06
HBEGF__Tcell|SORT1__Stroma,HBEGF,SORT1,Tcell,Stroma,9,768,2.1993758e-06
ANGPTL1__Bcell|ROR2__Stroma,ANGPTL1,ROR2,Bcell,Stroma,20,768,2.1989408e-06
LPL__Tcell|AXL__Macrophage,LPL,AXL,Tcell,Macrophage,9,315,2.1965573e-06
LAMA1__Bcell|S1PR2__Stroma,LAMA1,S1PR2,Bcell,Stroma,20,768,2.1952737e-06
HGF__Bcell|FZD1__Stroma,HGF,FZD1,Bcell,Stroma,20,768,2.1943504e-06
TNF__Tcell|ITGB4__Stroma,TNF,ITGB4,Tcell,Stroma,9,768,2.192952e-06
JAM3__Endothelial|ITGB4__Bcell,JAM3,ITGB4,Endothelial,Bcell,62,20,2.190603e-06
EPHA4__Tcell|TNFRSF6B__Endothelial,EPHA4,TNFRSF6B,Tcell,Endothelial,9,62,2.1904416e-06
HGF__Bcell|NRP2__Stroma,HGF,NRP2,Bcell,Stroma,20,768,2.1890667e-06
CD226__Tcell|F2RL2__Macrophage,CD226,F2RL2,Tcell,Macrophage,9,315,2.1875721e-06
HBEGF__Macrophage|ITGB4__Bcell,HBEGF,ITGB4,Macrophage,Bcell,315,20,2.187116e-06
FREM1__Bcell|ESAM__Stroma,FREM1,ESAM,Bcell,Stroma,20,768,2.1838864e-06
LAMC3__Bcell|ITGA5__Macrophage,LAMC3,ITGA5,Bcell,Macrophage,20,315,2.1813366e-06
CCL13__Bcell|CD2__Stroma,CCL13,CD2,Bcell,Stroma,20,768,2.1807803e-06
TIGIT__Tcell|FAS__Bcell,TIGIT,FAS,Tcell,Bcell,9,20,2.1791743e-06
CCL13__Bcell|PVR__Stroma,CCL13,PVR,Bcell,Stroma,20,768,2.1771646e-06
HBEGF__Tcell|CADM1__Stroma,HBEGF,CADM1,Tcell,Stroma,9,768,2.175733e-06
TFPI__Endothelial|ITGAM__Bcell,TFPI,ITGAM,Endothelial,Bcell,62,20,2.1756696e-06
IL15__Endothelial|TRAF3__Bcell,IL15,TRAF3,Endothelial,Bcell,62,20,2.1751077e-06
EPHA4__Tcell|PTPRM__Endothelial,EPHA4,PTPRM,Tcell,Endothelial,9,62,2.1744322e-06
BMP2__Tcell|CD47__Stroma,BMP2,CD47,Tcell,Stroma,9,768,2.173238e-06
PDGFB__Endothelial|SDC2__Bcell,PDGFB,SDC2,Endothelial,Bcell,62,20,2.1691926e-06
LAMC3__Bcell|SDC3__Stroma,LAMC3,SDC3,Bcell,Stroma,20,768,2.1676647e-06
SELPLG__Endothelial|ENG__Bcell,SELPLG,ENG,Endothelial,Bcell,62,20,2.1673243e-06
PROS1__Endothelial|FAS__Bcell,PROS1,FAS,Endothelial,Bcell,62,20,2.1672877e-06
BMP2__Tcell|HLA-F__Stroma,BMP2,HLA-F,Tcell,Stroma,9,768,2.1649525e-06
HBEGF__Tcell|ROR2__Stroma,HBEGF,ROR2,Tcell,Stroma,9,768,2.1631245e-06
SELPLG__Tcell|SDC4__Bcell,SELPLG,SDC4,Tcell,Bcell,9,20,2.1627902e-06
EPHA4__Tcell|IL2RA__Macrophage,EPHA4,IL2RA,Tcell,Macrophage,9,315,2.1614696e-06
VEGFC__Tcell|LAMP2__Stroma,VEGFC,LAMP2,Tcell,Stroma,9,768,2.160416e-06
EPHA4__Tcell|ITGAM__Bcell,EPHA4,ITGAM,Tcell,Bcell,9,20,2.1584913e-06
HBEGF__Endothelial|TRAF3__Bcell,HBEGF,TRAF3,Endothelial,Bcell,62,20,2.1565427e-06
IL6__Endothelial|TGFBR2__Bcell,IL6,TGFBR2,Endothelial,Bcell,62,20,2.1564429e-06
VCAM1__Endothelial|ENG__Bcell,VCAM1,ENG,Endothelial,Bcell,62,20,2.1550313e-06
DUSP18__Tcell|ITGAV__Macrophage,DUSP18,ITGAV,Tcell,Macrophage,9,315,2.1548717e-06
VCAM1__Endothelial|BMPR1A__Bcell,VCAM1,BMPR1A,Endothelial,Bcell,62,20,2.153557e-06
HGF__Bcell|CD82__Stroma,HGF,CD82,Bcell,Stroma,20,768,2.1510564e-06
ICAM1__Endothelial|CD4__Bcell,ICAM1,CD4,Endothelial,Bcell,62,20,2.148101e-06
TGFB1__Tcell|PVR__Bcell,TGFB1,PVR,Tcell,Bcell,9,20,2.1464816e-06
FREM1__Bcell|ITGAV__Macrophage,FREM1,ITGAV,Bcell,Macrophage,20,315,2.1405358e-06
SELPLG__Tcell|ACVRL1__Bcell,SELPLG,ACVRL1,Tcell,Bcell,9,20,2.1401167e-06
