ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
TFF3__Malignant,ITGB5__Stroma,TFF3__Malignant|ITGB5__Stroma,7.347346853165111,4.187842836163531,162.5100805669968,27905.22334832109,12.841140744986841,28.32932165010647,0.39099841019172027
B2M__Malignant,CAP1__Stroma,B2M__Malignant|CAP1__Stroma,7.336757792081614,5.648433088230753,113.06750038833428,27865.00609432597,8.332852808981299,53.28807480900779,0.217148628138856
HLA-C__Malignant,ENO1__Macrophage,HLA-C__Malignant|ENO1__Macrophage,7.286446810009482,4.771938865374256,128.1608133095555,27673.92498441601,9.824120483137827,20.50116626115124,0.47740155925959393
AZGP1__Malignant,CD74__Stroma,AZGP1__Malignant|CD74__Stroma,7.251341073549896,5.08954506295713,62.196445618814366,27540.593397342505,8.717788348966135,8.49610378010731,1.3465733596013119
C1QB__Macrophage,CD63__Malignant,C1QB__Macrophage|CD63__Malignant,7.208064049559026,0,363.43791194960266,27376.22726022518,28.214404657740584,1.208112352032999,8.437647616205767
APOE__Macrophage,TYROBP__Malignant,APOE__Macrophage|TYROBP__Malignant,7.1965388042599345,0,397.72074791980174,27332.45437857923,29.167017133169303,6.424318242558926,1.6618820725115404
FN1__Stroma,PRLR__Malignant,FN1__Stroma|PRLR__Malignant,7.176193080860392,0,465.71025590237986,27255.181321107768,29.060936914643953,3.791117473611257,2.901777278060352
CD24__Malignant,TYROBP__Macrophage,CD24__Malignant|TYROBP__Macrophage,7.1665085751325925,5.543386044337556,71.76443047450263,27218.399568353587,7.771047599318285,17.664792125884766,0.5806380080919443
CXCL14__Malignant,CD81__Stroma,CXCL14__Malignant|CD81__Stroma,7.149010314014464,2.0003213619687035,153.68552106038885,27151.941172626935,15.660062192195781,7.381842565076551,1.4535856479969007
APOE__Macrophage,CD47__Malignant,APOE__Macrophage|CD47__Malignant,7.106271359997365,0,338.3125016120941,26989.61862526999,28.455279885954855,6.424318242558926,1.5383136082568338
ARF1__Malignant,CD63__Macrophage,ARF1__Malignant|CD63__Macrophage,7.088264729753532,5.609985219402958,48.679499263668916,26921.229443603916,7.397736251369723,11.327927432811919,0.8955163413277767
BST2__Malignant,CD81__Stroma,BST2__Malignant|CD81__Stroma,7.079843182462752,4.072769604722614,61.53133132968085,26889.24440699353,8.302211896826197,7.44177658449465,1.4535856479969007
HLA-DRA__Macrophage,ATP6AP2__Malignant,HLA-DRA__Macrophage|ATP6AP2__Malignant,7.048195429762021,0,285.68275765101527,26769.046242236156,26.66271279521466,3.765344818249655,2.682816042654765
HLA-A__Malignant,FLOT1__Macrophage,HLA-A__Malignant|FLOT1__Macrophage,7.0365154049592435,4.601280037221055,74.63408196631194,26724.685508035207,9.341670331422213,31.03118324208266,0.29472753962498033
APOE__Macrophage,CD44__Malignant,APOE__Macrophage|CD44__Malignant,7.019230152926574,0,397.9090345827449,26659.036120815126,28.13041889833276,6.424318242558926,1.5588424906899023
EFNA1__Malignant,CD81__Macrophage,EFNA1__Malignant|CD81__Macrophage,6.961464988951441,3.935102109875678,66.95629026109722,26439.644028037575,8.36486266977665,9.79413117980602,1.0129718986130358
HLA-DRA__Macrophage,ADORA2A__Malignant,HLA-DRA__Macrophage|ADORA2A__Malignant,6.952632078231619,0,269.2314810246667,26406.09663312369,26.36426139448652,3.765344818249655,2.602417410654269
GRN__Macrophage,IL6ST__Malignant,GRN__Macrophage|IL6ST__Malignant,6.806408242726705,0,320.0008560665121,25850.738505876023,27.613108928963268,1.1142246233016815,7.972520223468345
FN1__Stroma,ADORA2A__Malignant,FN1__Stroma|ADORA2A__Malignant,6.775006985084101,0,507.22975033982135,25731.476529349417,30.037176808829685,3.791117473611257,2.602417410654269
