Sender,Receiver,Ligand,Receptor,LRscore,all
Macrophage,Stroma,HLA-DRA,ITGB5,17.792504802941288,Macrophage_HLA-DRA_Stroma_ITGB5
Macrophage,Malignant,PSAP,ERBB2,22.564684299421938,Macrophage_PSAP_Malignant_ERBB2
Macrophage,Stroma,HLA-DRA,LAMP2,16.576187773564726,Macrophage_HLA-DRA_Stroma_LAMP2
Macrophage,Stroma,LYZ,CAP1,13.275199515490899,Macrophage_LYZ_Stroma_CAP1
Malignant,Stroma,HLA-DRB1,CAP1,13.528506586927167,Malignant_HLA-DRB1_Stroma_CAP1
Macrophage,Malignant,ANXA2,BAMBI,17.701294122716945,Macrophage_ANXA2_Malignant_BAMBI
Stroma,Malignant,TIMP3,BAMBI,15.54620625221528,Stroma_TIMP3_Malignant_BAMBI
Macrophage,Stroma,HLA-DRA,CAP1,16.021994670682798,Macrophage_HLA-DRA_Stroma_CAP1
Macrophage,Malignant,APOE,ERBB2,23.539778046331985,Macrophage_APOE_Malignant_ERBB2
Malignant,Stroma,HLA-DRB1,LAMP2,14.03660540315458,Malignant_HLA-DRB1_Stroma_LAMP2
Macrophage,Stroma,C1QA,LAMP2,12.976754731307754,Macrophage_C1QA_Stroma_LAMP2
Macrophage,Malignant,C1QA,ATP6AP2,13.467722506537621,Macrophage_C1QA_Malignant_ATP6AP2
Macrophage,Malignant,ANXA2,CD151,14.465590296354375,Macrophage_ANXA2_Malignant_CD151
Malignant,Macrophage,GNAS,FLOT1,17.660307231680445,Malignant_GNAS_Macrophage_FLOT1
Malignant,Stroma,GNAS,FLOT1,18.080008805589113,Malignant_GNAS_Stroma_FLOT1
Macrophage,Malignant,ANXA2,CD9,16.622352649271015,Macrophage_ANXA2_Malignant_CD9
Malignant,Stroma,IGFBP4,LAMP2,14.484625931377039,Malignant_IGFBP4_Stroma_LAMP2
Macrophage,Malignant,HLA-DMA,CD63,14.871898529240768,Macrophage_HLA-DMA_Malignant_CD63
Malignant,Macrophage,HLA-DRB1,FLOT1,17.881409250716715,Malignant_HLA-DRB1_Macrophage_FLOT1
Malignant,Stroma,HLA-DRB1,FLOT1,17.0847719530685,Malignant_HLA-DRB1_Stroma_FLOT1
Macrophage,Malignant,C1QB,FLOT1,15.588066267644091,Macrophage_C1QB_Malignant_FLOT1
Macrophage,Stroma,C1QB,FLOT1,15.436937866252725,Macrophage_C1QB_Stroma_FLOT1
Macrophage,Malignant,LYZ,ERBB2,18.21801410991742,Macrophage_LYZ_Malignant_ERBB2
Macrophage,Malignant,ANXA2,ITGB5,11.543621192696639,Macrophage_ANXA2_Malignant_ITGB5
Macrophage,Stroma,ANXA2,ITGB5,12.015673353339205,Macrophage_ANXA2_Stroma_ITGB5
Macrophage,Stroma,VIM,LAMP2,13.966168043294063,Macrophage_VIM_Stroma_LAMP2
Macrophage,Malignant,LYZ,ATP6AP2,15.015655922332265,Macrophage_LYZ_Malignant_ATP6AP2
Malignant,Stroma,HLA-A,APLP2,20.32806319163862,Malignant_HLA-A_Stroma_APLP2
Malignant,Stroma,IGFBP4,CAP1,14.196581483598582,Malignant_IGFBP4_Stroma_CAP1
Macrophage,Stroma,C1QB,LAMP2,12.682710169513973,Macrophage_C1QB_Stroma_LAMP2
Macrophage,Stroma,GRN,CAP1,13.43549723624724,Macrophage_GRN_Stroma_CAP1
Macrophage,Malignant,VIM,ATP6AP2,14.23749688938327,Macrophage_VIM_Malignant_ATP6AP2
Macrophage,Stroma,HLA-DMA,CD81,15.41461982168527,Macrophage_HLA-DMA_Stroma_CD81
Macrophage,Stroma,APOE,LAMP2,17.919368596960517,Macrophage_APOE_Stroma_LAMP2
Macrophage,Stroma,PSAP,CAP1,16.63706996882942,Macrophage_PSAP_Stroma_CAP1
Malignant,Stroma,HLA-A,CAP1,18.308527294456415,Malignant_HLA-A_Stroma_CAP1
Macrophage,Malignant,LYZ,PLXNB2,16.914979051107892,Macrophage_LYZ_Malignant_PLXNB2
Malignant,Stroma,HLA-B,ITGB5,20.32051446897828,Malignant_HLA-B_Stroma_ITGB5
Macrophage,Malignant,HLA-DMA,PLXNB2,11.378187385000034,Macrophage_HLA-DMA_Malignant_PLXNB2
Malignant,Stroma,HLA-A,ITGB5,20.149009822279226,Malignant_HLA-A_Stroma_ITGB5
Macrophage,Malignant,ANXA2,ATP6AP2,12.033853016753165,Macrophage_ANXA2_Malignant_ATP6AP2
