Sender,Receiver,Ligand,Receptor,LRscore
Tcell,Bcell,COL4A3,CD44,0
Tcell,Bcell,COL9A3,ITGB1,0
Tcell,Bcell,COL9A3,SDC4,0
Tcell,Bcell,COL9A3,SDC1,0
Tcell,Bcell,COL9A3,CD44,0
Tcell,Bcell,CRTAM,CADM1,0
Tcell,Bcell,DUSP18,ITGB1,0
Tcell,Bcell,DUSP18,ITGA6,0
Tcell,Bcell,DUSP18,ITGB4,0
Tcell,Bcell,EPHA4,EFNB1,0
Tcell,Bcell,FASLG,FAS,0
Tcell,Bcell,FCER2,ITGAM,0
Tcell,Bcell,FCER2,ITGB2,0
Tcell,Bcell,FREM1,ITGB1,0
Tcell,Bcell,GZMB,IGF2R,0
Tcell,Bcell,HBEGF,CD44,0
Tcell,Bcell,HGF,SDC1,0
Tcell,Bcell,HGF,SDC2,0
Tcell,Bcell,HGF,CD44,0
Tcell,Bcell,HLA-DOB,CD4,0
Tcell,Bcell,ICAM2,ITGAM,0
Tcell,Bcell,ICAM2,ITGB2,0
Tcell,Bcell,ICAM2,ITGAL,0
Tcell,Bcell,IL16,CD4,0
Tcell,Bcell,JAM2,ITGB1,0
Tcell,Bcell,JAM2,F11R,0
Tcell,Bcell,LAMA2,ITGB1,0
Tcell,Bcell,LAMA2,ITGA6,0
Tcell,Bcell,LAMA2,CD44,0
Tcell,Bcell,LAMA2,ITGB4,0
Tcell,Bcell,LPL,SDC1,0
Tcell,Bcell,LPL,CD44,0
Tcell,Bcell,LTA,LTBR,0
Tcell,Bcell,LTB,CD40,0
Tcell,Bcell,LTB,LTBR,0
Tcell,Bcell,PTPRC,MRC1,0
Tcell,Bcell,SELPLG,ITGAM,0
Tcell,Bcell,SELPLG,ITGB2,0
Tcell,Bcell,SEMA7A,ITGB1,0
Tcell,Bcell,SLIT2,SDC1,0
Tcell,Bcell,SLIT2,ROBO1,0
Tcell,Bcell,TF,TFRC,0
Tcell,Bcell,TGFB1,SDC2,0
Tcell,Bcell,TGFB1,ACVRL1,0
Tcell,Bcell,TGFB1,ENG,0
Tcell,Bcell,TGFB1,TGFBR1,0
Tcell,Bcell,TGFB1,TGFBR2,0
Tcell,Bcell,TGFB1,ACVR1B,0
Tcell,Bcell,TIGIT,PVR,0
Tcell,Bcell,TNF,LTBR,0
Tcell,Bcell,TNFSF14,LTBR,0
Tcell,Bcell,TNFSF15,TNFRSF25,0
Tcell,Bcell,VCAM1,ITGB1,0
Tcell,Bcell,VCAM1,ITGB7,0
Tcell,Bcell,VCAM1,ITGB2,0
Tcell,Bcell,VEGFC,ITGB1,0
Tcell,Bcell,WNT5A,ROR2,0
Bcell,Stroma,CCL19,CD74,0.10320339086590356
Bcell,Stroma,CCL19,CD81,0.07875712293023465
Bcell,Stroma,CCL19,FLOT1,0.05589345698085996
Bcell,Stroma,CCL19,IL6ST,0.06611434827323472
Bcell,Stroma,CCL19,LAMP2,0.04304079797231962
Bcell,Stroma,CCL19,CAP1,0.041944392337781945
Bcell,Stroma,CCL19,ITGB5,0.04938604086643398
Bcell,Malignant,CCL19,ADORA2A,0.049321188567512525
Bcell,Malignant,CCL19,CD55,0.05775615066508845
Bcell,Malignant,CCL19,CD74,0.10339843763527579
Bcell,Malignant,CCL19,MAGED1,0.04048613809356673
Bcell,Malignant,CCL19,PLXNA3,0.02197736202914734
Bcell,Malignant,CCL19,SDC1,0.06133760340730767
Bcell,Malignant,CCL19,CD151,0.0692009214358258
Bcell,Malignant,CCL19,CD9,0.08289420272876818
Bcell,Malignant,CCL19,FLOT1,0.06346842451753575
Bcell,Malignant,CCL19,IFITM1,0.05899940237012535
Bcell,Malignant,CCL19,IL13RA1,0.03323362071931562
Bcell,Malignant,CCL19,IL6ST,0.07805658462238939
Bcell,Malignant,CCL19,AMFR,0.055738932859148924
Bcell,Malignant,CCL19,BAMBI,0.0858751734089178
Bcell,Malignant,CCL19,CD47,0.03989342687622882
Bcell,Malignant,CCL19,ERBB2,0.06972534855742078
Bcell,Malignant,CCL19,PRLR,0.05129425780348776
Bcell,Malignant,CCL19,ATP6AP2,0.05558398167736984
Bcell,Malignant,CCL19,CD163,0.01529891515742421
Bcell,Malignant,CCL19,CD44,0.043629531355476474
Bcell,Malignant,CCL19,ENO1,0.07075619643877455
Bcell,Malignant,CCL19,FPR3,0.008931190323450761
Bcell,Malignant,CCL19,ITGB5,0.053687689953177076
Bcell,Malignant,CCL19,PLXNB2,0.0619523243722644
Bcell,Malignant,CCL19,TREM2,0.00883484076187151
Bcell,Malignant,CCL19,TYROBP,0.04578356822935168
Bcell,Malignant,CCL19,GFRA1,0.06140051895471302
Bcell,Malignant,CCL19,LDLR,0.01409455341398969
Bcell,Malignant,CCL19,CD63,0.0842112266773405
Bcell,Malignant,CCL19,MRC2,0.017255808389070947
Bcell,Macrophage,CCL19,CD74,0.10438408327225655
Bcell,Macrophage,CCL19,CD81,0.07549511927753055
Bcell,Macrophage,CCL19,IL2RG,0.02393005745867695
Bcell,Macrophage,CCL19,CD9,0.06101342364383266
Bcell,Macrophage,CCL19,FLOT1,0.04920387178261159
Bcell,Macrophage,CCL19,CD163,0.03145109946679309
Bcell,Macrophage,CCL19,ENO1,0.06083704342333418
Bcell,Macrophage,CCL19,ITGB2,0.05076190397523074
Bcell,Macrophage,CCL19,TYROBP,0.06017258021622232
Bcell,Macrophage,CCL19,CD63,0.07338551291253262
Macrophage,Stroma,C1QA,CD74,0.3082155430325622
Macrophage,Stroma,C1QA,CD81,0.23682098207523006
Macrophage,Stroma,C1QA,FLOT1,0.16915596424517151
Macrophage,Stroma,C1QA,IL6ST,0.1995124133408573
Macrophage,Stroma,C1QA,LAMP2,0.13073333977244858
Macrophage,Stroma,C1QA,CAP1,0.12744270243764713
